any,29115,40006,41184,41388
,,,,
,,,,
Y,504,504,504,504
Y,464,464,464,464
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,500,500,500,500
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,199,199,199,199
Y,929,929,929,929
,,,,
Y,1459,1459,1459,1459
Y,1389,1389,1389,1389
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,219,219,219,219
,,,,
,,,,
Y,398,398,398,398
,,,,
Y,699,699,699,799
,,,,
,,,,
Y,299,299,299,299
,,,,
Y,999,999,999,999
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,979,979,979,979
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,1519,1519,1519,1519
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,1999,1999,1999,1999
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,739,739,739,739
Y,649,649,649,649
,,,,
,,,,
,,,,
,,,,
Y,1160,1160,1160,1160
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,159,159,159,159
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,499,499,499,499
Y,749,749,749,749
,,,,
,,,,
,,,,
,,,,
,,,,
Y,889,889,889,889
Y,1359,1359,1359,1359
Y,889,889,889,889
Y,1369,1369,1369,1369
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,199,199,199,199
Y,599,599,599,599
Y,789,789,789,789
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,159,159,159,159
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,99,99,99,99
,,,,
,,,,
Y,699,699,699,699
,,,,
Y,1039,1039,1039,1039
,,,,
Y,1189,1189,1189,1189
,,,,
Y,40,40,40,40
Y,589,589,589,589
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,239,239,239,239
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,199,199,199,199
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,99,99,99,99
,,,,
,,,,
,,,,
,,,,
Y,30,30,30,30
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,279,279,279,279
Y,40/50,40/50,40/50,40/50
,,,,
,,,,
,,,,
,,,,
,,,,
Y,239,239,239,239
,,,,
,,,,
,,,,
,,,,
Y,100,100,100,100
,,,,
,,,,
,,,,
